hotel_nombre,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Cray Villas,2022-07-26,93,205,30,202.37
Apollo Diamond Suites,2022-07-26,81,393,33,223.64
Apollo Towers,2022-07-26,79,248,33,282.94
Alletra Diamond Grand Hotel,2022-07-27,79,165,9,150.45
ProLiant Towers,2022-07-27,87,356,61,163.68
Aruba Luxury Lodge,2022-07-27,94,193,33,233.33
InfoSight Boutique Hotel,2022-07-27,86,276,27,299.44
Primera Grand,2022-07-27,79,380,37,192.42
dHCI Executive Boutique Hotel,2022-07-27,81,247,15,197.84
ProLiant Haven,2022-07-27,80,240,17,145.58
Apollo Executive Beach Resort,2022-07-27,81,247,42,203.49
Aruba Lodge,2022-07-27,83,205,36,217.62
Alletra Haven,2022-07-27,91,253,25,274.54
dHCI Platinum Beach Resort,2022-07-27,78,338,52,269.72
GreenLake Platinum Heritage Inn,2022-07-27,87,190,14,145.11
Pointnext Signature Residences & Suites,2022-07-27,79,258,39,148.61
ProLiant Place,2022-07-27,95,463,61,274.23
Synergy Golden Grand Hotel,2022-07-27,84,372,38,261.24
Alletra Resort,2022-07-27,95,372,56,300.58
GreenLake Digital Business Suites,2022-07-27,80,361,61,206.96
Apollo Resort & Spa,2022-07-27,92,252,43,154.46
Nimble Inn,2022-07-27,72,201,30,123.7
Ezmeral Grand Hotel,2022-07-27,71,183,14,138.14
Alletra Boutique Hotel,2022-07-27,70,249,38,247.47
Simplivity Golden Plaza Hotel,2022-07-27,92,314,54,269.21
Cray Villas,2022-07-27,95,263,39,274.0
Apollo Diamond Suites,2022-07-27,75,164,30,189.85
Apollo Towers,2022-07-27,71,271,27,162.61
Alletra Diamond Grand Hotel,2022-07-28,82,166,32,229.66
ProLiant Towers,2022-07-28,85,210,38,218.05
Aruba Luxury Lodge,2022-07-28,91,419,30,174.92
InfoSight Boutique Hotel,2022-07-28,93,340,21,171.95
Primera Grand,2022-07-28,80,265,23,132.21
dHCI Executive Boutique Hotel,2022-07-28,70,255,44,133.3
ProLiant Haven,2022-07-28,73,264,31,164.48
Apollo Executive Beach Resort,2022-07-28,93,239,39,225.89
Aruba Lodge,2022-07-28,86,382,40,154.26
Alletra Haven,2022-07-28,90,304,16,318.88
dHCI Platinum Beach Resort,2022-07-28,93,354,50,259.6
GreenLake Platinum Heritage Inn,2022-07-28,77,271,26,203.42
Pointnext Signature Residences & Suites,2022-07-28,93,201,35,230.17
ProLiant Place,2022-07-28,84,338,62,258.22
Synergy Golden Grand Hotel,2022-07-28,84,384,52,209.41
Alletra Resort,2022-07-28,83,284,34,163.46
GreenLake Digital Business Suites,2022-07-28,82,353,24,257.97
Apollo Resort & Spa,2022-07-28,75,343,40,266.29
Nimble Inn,2022-07-28,79,263,34,272.17
Ezmeral Grand Hotel,2022-07-28,75,359,27,198.8
Alletra Boutique Hotel,2022-07-28,72,247,15,178.46
Simplivity Golden Plaza Hotel,2022-07-28,91,285,52,196.04
Cray Villas,2022-07-28,90,252,13,219.77
Apollo Diamond Suites,2022-07-28,77,233,40,211.31
Apollo Towers,2022-07-28,95,374,44,285.7
Alletra Diamond Grand Hotel,2022-07-29,88,408,24,144.15
ProLiant Towers,2022-07-29,77,247,13,237.41
Aruba Luxury Lodge,2022-07-29,82,301,34,287.7
InfoSight Boutique Hotel,2022-07-29,88,305,33,290.35
Primera Grand,2022-07-29,84,241,36,171.05
dHCI Executive Boutique Hotel,2022-07-29,80,261,25,231.84
ProLiant Haven,2022-07-29,91,193,29,171.14
Apollo Executive Beach Resort,2022-07-29,73,155,26,240.23
Aruba Lodge,2022-07-29,80,374,40,286.76
Alletra Haven,2022-07-29,85,424,66,299.2
dHCI Platinum Beach Resort,2022-07-29,80,290,51,150.33
GreenLake Platinum Heritage Inn,2022-07-29,78,195,17,270.84
Pointnext Signature Residences & Suites,2022-07-29,81,391,30,251.3
ProLiant Place,2022-07-29,89,226,23,231.85
Synergy Golden Grand Hotel,2022-07-29,91,227,11,194.2
Alletra Resort,2022-07-29,70,346,58,175.89
GreenLake Digital Business Suites,2022-07-29,94,280,41,174.56
Apollo Resort & Spa,2022-07-29,79,278,44,256.25
Nimble Inn,2022-07-29,90,310,26,224.24
Ezmeral Grand Hotel,2022-07-29,70,321,33,219.76
Alletra Boutique Hotel,2022-07-29,74,272,23,168.09
Simplivity Golden Plaza Hotel,2022-07-29,81,190,23,246.88
Cray Villas,2022-07-29,93,353,22,145.72
Apollo Diamond Suites,2022-07-29,94,212,32,207.45
Apollo Towers,2022-07-29,92,257,20,206.83
Alletra Diamond Grand Hotel,2022-07-30,100,413,54,216.84
ProLiant Towers,2022-07-30,84,413,45,293.05
Aruba Luxury Lodge,2022-07-30,91,251,16,193.87
InfoSight Boutique Hotel,2022-07-30,81,261,25,218.65
Primera Grand,2022-07-30,97,217,25,250.97
dHCI Executive Boutique Hotel,2022-07-30,79,163,31,252.01
ProLiant Haven,2022-07-30,83,339,55,237.61
Apollo Executive Beach Resort,2022-07-30,88,325,24,185.91
Aruba Lodge,2022-07-30,85,353,30,203.32
Alletra Haven,2022-07-30,87,266,20,244.16
dHCI Platinum Beach Resort,2022-07-30,88,219,37,268.38
GreenLake Platinum Heritage Inn,2022-07-30,95,314,33,334.08
Pointnext Signature Residences & Suites,2022-07-30,84,238,35,238.93
ProLiant Place,2022-07-30,91,214,17,309.34
Synergy Golden Grand Hotel,2022-07-30,100,240,26,249.29
Alletra Resort,2022-07-30,91,439,22,144.93
GreenLake Digital Business Suites,2022-07-30,77,288,49,176.8
Apollo Resort & Spa,2022-07-30,100,495,67,287.14
Nimble Inn,2022-07-30,78,374,71,204.85
Ezmeral Grand Hotel,2022-07-30,93,259,39,154.22
Alletra Boutique Hotel,2022-07-30,100,227,23,170.85
Simplivity Golden Plaza Hotel,2022-07-30,100,498,52,219.66
Cray Villas,2022-07-30,94,306,24,188.47
Apollo Diamond Suites,2022-07-30,100,461,45,314.19
Apollo Towers,2022-07-30,80,281,38,179.72
Alletra Diamond Grand Hotel,2022-07-31,100,438,50,205.44
ProLiant Towers,2022-07-31,83,354,35,190.56
Aruba Luxury Lodge,2022-07-31,78,201,26,196.17
InfoSight Boutique Hotel,2022-07-31,82,177,12,199.13
Primera Grand,2022-07-31,97,253,46,176.19
dHCI Executive Boutique Hotel,2022-07-31,88,206,35,254.18
ProLiant Haven,2022-07-31,81,177,23,192.7
Apollo Executive Beach Resort,2022-07-31,83,193,28,140.97
Aruba Lodge,2022-07-31,100,495,56,187.55
Alletra Haven,2022-07-31,80,255,49,269.71
dHCI Platinum Beach Resort,2022-07-31,100,421,68,193.72
GreenLake Platinum Heritage Inn,2022-07-31,79,241,27,176.05
Pointnext Signature Residences & Suites,2022-07-31,95,358,27,281.71
ProLiant Place,2022-07-31,87,284,17,248.23
Synergy Golden Grand Hotel,2022-07-31,96,196,30,172.93
Alletra Resort,2022-07-31,90,343,38,196.79
GreenLake Digital Business Suites,2022-07-31,79,211,17,253.52
Apollo Resort & Spa,2022-07-31,89,196,23,283.85
Nimble Inn,2022-07-31,100,419,72,244.55
Ezmeral Grand Hotel,2022-07-31,78,327,31,253.96
Alletra Boutique Hotel,2022-07-31,95,206,29,226.53
Simplivity Golden Plaza Hotel,2022-07-31,94,279,46,228.48
Cray Villas,2022-07-31,100,415,78,285.44
Apollo Diamond Suites,2022-07-31,92,356,34,186.3
Apollo Towers,2022-07-31,100,483,31,335.65
Alletra Diamond Grand Hotel,2022-08-01,85,251,47,269.66
ProLiant Towers,2022-08-01,71,180,21,164.79
Aruba Luxury Lodge,2022-08-01,78,251,33,279.65
InfoSight Boutique Hotel,2022-08-01,71,289,28,129.74
Primera Grand,2022-08-01,87,390,60,246.98
dHCI Executive Boutique Hotel,2022-08-01,88,330,31,289.05
ProLiant Haven,2022-08-01,89,376,59,151.79
Apollo Executive Beach Resort,2022-08-01,86,220,43,160.16
Aruba Lodge,2022-08-01,73,192,27,238.77
Alletra Haven,2022-08-01,72,199,38,186.62
dHCI Platinum Beach Resort,2022-08-01,93,316,21,294.37
GreenLake Platinum Heritage Inn,2022-08-01,84,248,15,286.5
Pointnext Signature Residences & Suites,2022-08-01,91,418,47,251.03
ProLiant Place,2022-08-01,83,385,61,295.41
Synergy Golden Grand Hotel,2022-08-01,73,270,45,222.67
Alletra Resort,2022-08-01,71,238,20,157.64
GreenLake Digital Business Suites,2022-08-01,83,325,24,144.08
Apollo Resort & Spa,2022-08-01,86,253,50,196.58
Nimble Inn,2022-08-01,93,242,30,283.54
Ezmeral Grand Hotel,2022-08-01,70,270,46,244.05
Alletra Boutique Hotel,2022-08-01,95,355,55,330.06
Simplivity Golden Plaza Hotel,2022-08-01,78,240,24,149.95
Cray Villas,2022-08-01,80,395,57,210.13
Apollo Diamond Suites,2022-08-01,75,341,58,147.77
Apollo Towers,2022-08-01,87,286,44,237.2
Alletra Diamond Grand Hotel,2022-08-02,88,365,40,296.13
ProLiant Towers,2022-08-02,85,267,19,162.23
Aruba Luxury Lodge,2022-08-02,76,166,19,184.33
InfoSight Boutique Hotel,2022-08-02,85,172,31,192.52
Primera Grand,2022-08-02,88,302,39,280.51
dHCI Executive Boutique Hotel,2022-08-02,77,383,48,202.64
ProLiant Haven,2022-08-02,75,343,42,162.15
Apollo Executive Beach Resort,2022-08-02,93,187,20,194.69
Aruba Lodge,2022-08-02,73,247,45,266.74
Alletra Haven,2022-08-02,89,280,45,230.96
dHCI Platinum Beach Resort,2022-08-02,78,312,47,264.98
GreenLake Platinum Heritage Inn,2022-08-02,93,278,26,252.18
Pointnext Signature Residences & Suites,2022-08-02,72,300,38,154.47
ProLiant Place,2022-08-02,95,236,20,232.96
Synergy Golden Grand Hotel,2022-08-02,78,335,43,135.85
Alletra Resort,2022-08-02,80,284,27,187.56
GreenLake Digital Business Suites,2022-08-02,85,408,68,171.64
Apollo Resort & Spa,2022-08-02,75,259,17,208.06
Nimble Inn,2022-08-02,94,348,42,259.47
Ezmeral Grand Hotel,2022-08-02,74,153,15,145.29
Alletra Boutique Hotel,2022-08-02,75,256,41,237.85
Simplivity Golden Plaza Hotel,2022-08-02,78,274,26,206.09
Cray Villas,2022-08-02,78,227,39,234.42
Apollo Diamond Suites,2022-08-02,82,331,56,263.16
Apollo Towers,2022-08-02,94,232,16,300.45
Alletra Diamond Grand Hotel,2022-08-03,78,366,59,171.07
ProLiant Towers,2022-08-03,76,341,56,166.87
Aruba Luxury Lodge,2022-08-03,88,277,46,226.27
InfoSight Boutique Hotel,2022-08-03,93,227,32,187.01
Primera Grand,2022-08-03,73,156,17,191.18
dHCI Executive Boutique Hotel,2022-08-03,91,268,34,181.27
ProLiant Haven,2022-08-03,87,275,36,200.49
Apollo Executive Beach Resort,2022-08-03,93,238,15,256.93
Aruba Lodge,2022-08-03,87,296,42,183.54
Alletra Haven,2022-08-03,86,321,39,249.1
dHCI Platinum Beach Resort,2022-08-03,84,384,71,273.67
GreenLake Platinum Heritage Inn,2022-08-03,73,174,13,203.96
Pointnext Signature Residences & Suites,2022-08-03,95,384,33,239.3
ProLiant Place,2022-08-03,79,291,41,190.48
Synergy Golden Grand Hotel,2022-08-03,91,265,45,172.05
Alletra Resort,2022-08-03,72,326,20,175.81
GreenLake Digital Business Suites,2022-08-03,85,275,39,170.28
Apollo Resort & Spa,2022-08-03,75,337,43,179.91
Nimble Inn,2022-08-03,81,282,53,220.56
Ezmeral Grand Hotel,2022-08-03,75,223,22,208.46
Alletra Boutique Hotel,2022-08-03,88,333,57,220.17
Simplivity Golden Plaza Hotel,2022-08-03,89,444,24,308.1
Cray Villas,2022-08-03,82,364,20,154.26
Apollo Diamond Suites,2022-08-03,80,308,22,203.93
Apollo Towers,2022-08-03,70,323,17,134.04
Alletra Diamond Grand Hotel,2022-08-04,95,313,19,152.61
ProLiant Towers,2022-08-04,82,307,16,210.12
Aruba Luxury Lodge,2022-08-04,80,300,28,271.86
InfoSight Boutique Hotel,2022-08-04,72,179,25,182.31
Primera Grand,2022-08-04,84,270,19,251.19
dHCI Executive Boutique Hotel,2022-08-04,71,343,26,174.17
ProLiant Haven,2022-08-04,89,338,39,145.46
Apollo Executive Beach Resort,2022-08-04,82,336,23,177.19
Aruba Lodge,2022-08-04,85,345,38,142.24
Alletra Haven,2022-08-04,95,285,19,198.5
dHCI Platinum Beach Resort,2022-08-04,83,318,25,203.42
GreenLake Platinum Heritage Inn,2022-08-04,87,419,51,183.39
Pointnext Signature Residences & Suites,2022-08-04,81,330,32,169.84
ProLiant Place,2022-08-04,71,344,19,149.02
Synergy Golden Grand Hotel,2022-08-04,85,202,37,186.66
Alletra Resort,2022-08-04,73,299,58,148.33
GreenLake Digital Business Suites,2022-08-04,80,318,25,144.54
Apollo Resort & Spa,2022-08-04,77,178,13,234.91
Nimble Inn,2022-08-04,83,267,21,159.74
Ezmeral Grand Hotel,2022-08-04,87,237,38,141.22
Alletra Boutique Hotel,2022-08-04,87,251,43,294.3
Simplivity Golden Plaza Hotel,2022-08-04,94,401,73,248.52
Cray Villas,2022-08-04,72,224,29,193.79
Apollo Diamond Suites,2022-08-04,95,421,64,280.99
Apollo Towers,2022-08-04,81,289,28,203.5
Alletra Diamond Grand Hotel,2022-08-05,91,210,39,226.22
ProLiant Towers,2022-08-05,82,314,26,209.92
Aruba Luxury Lodge,2022-08-05,76,160,15,241.92
InfoSight Boutique Hotel,2022-08-05,91,354,22,194.04
Primera Grand,2022-08-05,70,339,62,174.25
dHCI Executive Boutique Hotel,2022-08-05,89,221,26,272.68
ProLiant Haven,2022-08-05,87,356,54,276.82
Apollo Executive Beach Resort,2022-08-05,86,354,36,259.31
Aruba Lodge,2022-08-05,77,295,27,237.38
Alletra Haven,2022-08-05,73,251,36,202.1
dHCI Platinum Beach Resort,2022-08-05,84,392,59,230.09
GreenLake Platinum Heritage Inn,2022-08-05,95,371,63,323.05
Pointnext Signature Residences & Suites,2022-08-05,85,202,16,260.39
ProLiant Place,2022-08-05,73,280,35,229.46
Synergy Golden Grand Hotel,2022-08-05,95,329,61,293.36
Alletra Resort,2022-08-05,79,362,57,158.66
GreenLake Digital Business Suites,2022-08-05,74,220,19,154.21
Apollo Resort & Spa,2022-08-05,88,223,25,185.97
Nimble Inn,2022-08-05,77,309,38,224.94
Ezmeral Grand Hotel,2022-08-05,91,445,56,176.41
Alletra Boutique Hotel,2022-08-05,78,355,42,166.54
Simplivity Golden Plaza Hotel,2022-08-05,75,262,41,229.06
Cray Villas,2022-08-05,86,346,42,146.39
Apollo Diamond Suites,2022-08-05,76,234,22,251.63
Apollo Towers,2022-08-05,89,236,46,274.05
Alletra Diamond Grand Hotel,2022-08-06,98,469,28,174.5
ProLiant Towers,2022-08-06,100,308,30,302.53
Aruba Luxury Lodge,2022-08-06,100,238,31,296.57
InfoSight Boutique Hotel,2022-08-06,81,298,55,282.92
Primera Grand,2022-08-06,95,373,66,156.7
dHCI Executive Boutique Hotel,2022-08-06,100,247,36,182.24
ProLiant Haven,2022-08-06,86,252,23,224.81
Apollo Executive Beach Resort,2022-08-06,89,310,29,175.7
Aruba Lodge,2022-08-06,92,185,23,297.62
Alletra Haven,2022-08-06,84,392,73,202.11
dHCI Platinum Beach Resort,2022-08-06,100,260,35,278.19
GreenLake Platinum Heritage Inn,2022-08-06,85,393,39,153.97
Pointnext Signature Residences & Suites,2022-08-06,81,280,50,160.56
ProLiant Place,2022-08-06,100,235,27,192.96
Synergy Golden Grand Hotel,2022-08-06,86,335,37,181.81
Alletra Resort,2022-08-06,89,359,35,280.94
GreenLake Digital Business Suites,2022-08-06,93,316,62,283.66
Apollo Resort & Spa,2022-08-06,81,245,37,227.71
Nimble Inn,2022-08-06,100,462,82,300.51
Ezmeral Grand Hotel,2022-08-06,100,396,44,295.48
Alletra Boutique Hotel,2022-08-06,98,233,11,312.64
Simplivity Golden Plaza Hotel,2022-08-06,100,229,23,288.74
Cray Villas,2022-08-06,100,299,46,171.42
Apollo Diamond Suites,2022-08-06,94,301,44,255.43
Apollo Towers,2022-08-06,88,434,67,306.97
Alletra Diamond Grand Hotel,2022-08-07,100,447,80,199.55
ProLiant Towers,2022-08-07,100,397,43,201.91
Aruba Luxury Lodge,2022-08-07,100,417,70,218.12
InfoSight Boutique Hotel,2022-08-07,100,322,55,343.78
Primera Grand,2022-08-07,90,407,20,284.63
dHCI Executive Boutique Hotel,2022-08-07,84,235,25,257.8
ProLiant Haven,2022-08-07,99,359,68,168.42
Apollo Executive Beach Resort,2022-08-07,99,483,95,319.56
Aruba Lodge,2022-08-07,100,201,15,259.21
Alletra Haven,2022-08-07,92,262,50,273.61
dHCI Platinum Beach Resort,2022-08-07,100,482,95,255.9
GreenLake Platinum Heritage Inn,2022-08-07,100,319,57,185.23
Pointnext Signature Residences & Suites,2022-08-07,87,369,21,261.09
ProLiant Place,2022-08-07,100,476,80,239.93
Synergy Golden Grand Hotel,2022-08-07,88,299,23,232.07
Alletra Resort,2022-08-07,93,324,42,207.17
GreenLake Digital Business Suites,2022-08-07,88,409,65,157.4
Apollo Resort & Spa,2022-08-07,97,471,77,240.6
Nimble Inn,2022-08-07,100,440,69,321.81
Ezmeral Grand Hotel,2022-08-07,99,442,44,271.1
Alletra Boutique Hotel,2022-08-07,89,422,79,148.43
Simplivity Golden Plaza Hotel,2022-08-07,90,196,28,263.75
Cray Villas,2022-08-07,96,310,29,216.64
Apollo Diamond Suites,2022-08-07,88,255,45,248.1
Apollo Towers,2022-08-07,81,350,54,233.54
Alletra Diamond Grand Hotel,2022-08-08,79,248,22,206.63
ProLiant Towers,2022-08-08,83,284,45,281.15
Aruba Luxury Lodge,2022-08-08,82,282,47,237.03
InfoSight Boutique Hotel,2022-08-08,94,369,39,154.5
Primera Grand,2022-08-08,90,210,22,158.96
dHCI Executive Boutique Hotel,2022-08-08,95,214,40,199.8
ProLiant Haven,2022-08-08,88,349,20,239.67
Apollo Executive Beach Resort,2022-08-08,78,247,14,202.99
Aruba Lodge,2022-08-08,91,356,32,300.06
Alletra Haven,2022-08-08,70,162,30,166.92
dHCI Platinum Beach Resort,2022-08-08,77,270,28,127.78
GreenLake Platinum Heritage Inn,2022-08-08,85,258,47,239.75
Pointnext Signature Residences & Suites,2022-08-08,84,414,33,163.27
ProLiant Place,2022-08-08,79,317,59,227.73
Synergy Golden Grand Hotel,2022-08-08,95,255,30,311.44
Alletra Resort,2022-08-08,92,372,58,146.58
GreenLake Digital Business Suites,2022-08-08,80,358,59,203.84
Apollo Resort & Spa,2022-08-08,94,225,27,216.0
Nimble Inn,2022-08-08,79,363,28,161.95
Ezmeral Grand Hotel,2022-08-08,70,338,47,180.84
Alletra Boutique Hotel,2022-08-08,71,172,13,186.96
Simplivity Golden Plaza Hotel,2022-08-08,93,365,43,284.4
Cray Villas,2022-08-08,93,242,42,146.08
Apollo Diamond Suites,2022-08-08,92,187,13,238.34
Apollo Towers,2022-08-08,77,229,21,221.8
Alletra Diamond Grand Hotel,2022-08-09,75,279,27,219.24
ProLiant Towers,2022-08-09,90,289,23,176.75
Aruba Luxury Lodge,2022-08-09,74,203,24,263.56
InfoSight Boutique Hotel,2022-08-09,82,269,34,264.97
Primera Grand,2022-08-09,71,147,28,249.54
dHCI Executive Boutique Hotel,2022-08-09,91,194,22,217.26
ProLiant Haven,2022-08-09,78,264,48,189.15
Apollo Executive Beach Resort,2022-08-09,92,447,50,272.58
Aruba Lodge,2022-08-09,70,242,44,209.43
Alletra Haven,2022-08-09,74,261,21,234.88
dHCI Platinum Beach Resort,2022-08-09,83,329,60,192.68
GreenLake Platinum Heritage Inn,2022-08-09,75,168,18,184.17
Pointnext Signature Residences & Suites,2022-08-09,86,310,43,179.03
ProLiant Place,2022-08-09,71,156,17,178.79
Synergy Golden Grand Hotel,2022-08-09,92,338,30,246.87
Alletra Resort,2022-08-09,94,429,52,279.11
GreenLake Digital Business Suites,2022-08-09,70,272,14,126.23
Apollo Resort & Spa,2022-08-09,73,308,27,155.41
Nimble Inn,2022-08-09,77,173,31,193.25
Ezmeral Grand Hotel,2022-08-09,89,424,72,160.37
Alletra Boutique Hotel,2022-08-09,88,263,24,284.1
Simplivity Golden Plaza Hotel,2022-08-09,73,263,50,236.72
Cray Villas,2022-08-09,95,307,57,219.74
Apollo Diamond Suites,2022-08-09,86,271,48,198.41
Apollo Towers,2022-08-09,77,240,42,147.94
Alletra Diamond Grand Hotel,2022-08-10,81,206,10,236.56
ProLiant Towers,2022-08-10,76,249,21,233.02
Aruba Luxury Lodge,2022-08-10,77,250,15,166.73
InfoSight Boutique Hotel,2022-08-10,89,388,31,280.62
Primera Grand,2022-08-10,74,331,49,248.14
dHCI Executive Boutique Hotel,2022-08-10,81,233,25,132.83
ProLiant Haven,2022-08-10,93,268,13,196.03
Apollo Executive Beach Resort,2022-08-10,73,314,52,245.01
Aruba Lodge,2022-08-10,88,368,27,200.44
Alletra Haven,2022-08-10,88,323,31,157.98
dHCI Platinum Beach Resort,2022-08-10,85,303,56,202.49
GreenLake Platinum Heritage Inn,2022-08-10,72,204,20,197.18
Pointnext Signature Residences & Suites,2022-08-10,82,302,21,253.5
ProLiant Place,2022-08-10,76,344,43,219.25
Synergy Golden Grand Hotel,2022-08-10,75,353,32,158.59
Alletra Resort,2022-08-10,86,395,78,141.79
GreenLake Digital Business Suites,2022-08-10,82,178,14,289.74
Apollo Resort & Spa,2022-08-10,81,366,71,147.77
Nimble Inn,2022-08-10,83,360,70,270.78
Ezmeral Grand Hotel,2022-08-10,89,374,70,198.3
Alletra Boutique Hotel,2022-08-10,70,186,14,252.52
Simplivity Golden Plaza Hotel,2022-08-10,70,230,32,226.0
Cray Villas,2022-08-10,87,313,17,294.21
Apollo Diamond Suites,2022-08-10,88,176,11,223.49
Apollo Towers,2022-08-10,73,221,38,175.36
Alletra Diamond Grand Hotel,2022-08-11,93,408,47,243.73
ProLiant Towers,2022-08-11,94,439,74,294.25
Aruba Luxury Lodge,2022-08-11,71,225,43,164.99
InfoSight Boutique Hotel,2022-08-11,83,397,42,199.9
Primera Grand,2022-08-11,94,462,27,183.61
dHCI Executive Boutique Hotel,2022-08-11,79,353,17,156.18
ProLiant Haven,2022-08-11,90,414,72,252.2
Apollo Executive Beach Resort,2022-08-11,75,205,19,144.8
Aruba Lodge,2022-08-11,91,386,32,170.8
Alletra Haven,2022-08-11,92,259,49,318.8
dHCI Platinum Beach Resort,2022-08-11,87,293,55,209.55
GreenLake Platinum Heritage Inn,2022-08-11,94,397,41,149.16
Pointnext Signature Residences & Suites,2022-08-11,72,211,26,216.04
ProLiant Place,2022-08-11,88,390,62,284.9
Synergy Golden Grand Hotel,2022-08-11,94,385,73,147.43
Alletra Resort,2022-08-11,91,380,47,221.15
GreenLake Digital Business Suites,2022-08-11,82,191,14,176.65
Apollo Resort & Spa,2022-08-11,85,405,46,255.1
Nimble Inn,2022-08-11,76,177,10,214.41
Ezmeral Grand Hotel,2022-08-11,85,287,29,211.85
Alletra Boutique Hotel,2022-08-11,85,250,26,164.96
Simplivity Golden Plaza Hotel,2022-08-11,87,337,55,272.09
Cray Villas,2022-08-11,73,157,10,149.9
Apollo Diamond Suites,2022-08-11,84,319,47,182.79
Apollo Towers,2022-08-11,73,254,18,123.77
Alletra Diamond Grand Hotel,2022-08-12,95,318,57,239.8
ProLiant Towers,2022-08-12,83,182,27,195.13
Aruba Luxury Lodge,2022-08-12,82,221,21,200.02
InfoSight Boutique Hotel,2022-08-12,88,216,34,306.26
Primera Grand,2022-08-12,90,260,33,261.12
dHCI Executive Boutique Hotel,2022-08-12,88,403,50,253.45
ProLiant Haven,2022-08-12,90,198,38,173.48
Apollo Executive Beach Resort,2022-08-12,82,249,29,293.3
Aruba Lodge,2022-08-12,74,166,10,226.81
Alletra Haven,2022-08-12,89,442,55,265.8
dHCI Platinum Beach Resort,2022-08-12,82,374,63,219.82
GreenLake Platinum Heritage Inn,2022-08-12,73,186,19,217.66
Pointnext Signature Residences & Suites,2022-08-12,76,336,37,160.4
ProLiant Place,2022-08-12,83,195,16,137.98
Synergy Golden Grand Hotel,2022-08-12,81,322,36,187.0
Alletra Resort,2022-08-12,70,142,17,133.5
GreenLake Digital Business Suites,2022-08-12,80,392,64,225.34
Apollo Resort & Spa,2022-08-12,71,343,26,157.65
Nimble Inn,2022-08-12,86,299,19,216.48
Ezmeral Grand Hotel,2022-08-12,88,357,29,158.0
Alletra Boutique Hotel,2022-08-12,80,178,12,278.69
Simplivity Golden Plaza Hotel,2022-08-12,95,464,72,214.98
Cray Villas,2022-08-12,89,297,35,304.99
Apollo Diamond Suites,2022-08-12,72,267,31,237.43
Apollo Towers,2022-08-12,91,393,27,189.27
Alletra Diamond Grand Hotel,2022-08-13,100,252,33,220.97
ProLiant Towers,2022-08-13,93,349,61,253.65
Aruba Luxury Lodge,2022-08-13,94,394,21,240.84
InfoSight Boutique Hotel,2022-08-13,91,453,79,281.51
Primera Grand,2022-08-13,93,323,50,166.48
dHCI Executive Boutique Hotel,2022-08-13,97,219,28,254.92
ProLiant Haven,2022-08-13,80,201,24,162.65
Apollo Executive Beach Resort,2022-08-13,100,357,25,234.75
Aruba Lodge,2022-08-13,91,299,34,301.3
Alletra Haven,2022-08-13,76,372,53,235.72
dHCI Platinum Beach Resort,2022-08-13,78,207,29,182.13
GreenLake Platinum Heritage Inn,2022-08-13,100,380,59,256.97
Pointnext Signature Residences & Suites,2022-08-13,83,308,41,211.8
ProLiant Place,2022-08-13,94,189,31,159.38
Synergy Golden Grand Hotel,2022-08-13,100,291,45,324.7
Alletra Resort,2022-08-13,80,256,43,172.89
GreenLake Digital Business Suites,2022-08-13,88,197,35,191.88
Apollo Resort & Spa,2022-08-13,81,318,18,252.33
Nimble Inn,2022-08-13,94,225,38,237.1
Ezmeral Grand Hotel,2022-08-13,100,443,51,313.17
Alletra Boutique Hotel,2022-08-13,90,217,37,218.34
Simplivity Golden Plaza Hotel,2022-08-13,94,237,31,325.67
Cray Villas,2022-08-13,79,220,12,155.66
Apollo Diamond Suites,2022-08-13,100,386,57,291.4
Apollo Towers,2022-08-13,89,212,15,200.46
Alletra Diamond Grand Hotel,2022-08-14,83,194,28,281.01
ProLiant Towers,2022-08-14,100,433,41,349.16
Aruba Luxury Lodge,2022-08-14,88,260,26,284.3
InfoSight Boutique Hotel,2022-08-14,96,196,22,165.3
Primera Grand,2022-08-14,91,413,22,230.78
dHCI Executive Boutique Hotel,2022-08-14,85,278,54,277.29
ProLiant Haven,2022-08-14,100,253,41,310.35
Apollo Executive Beach Resort,2022-08-14,100,302,31,241.86
Aruba Lodge,2022-08-14,86,348,56,210.73
Alletra Haven,2022-08-14,91,278,53,206.29
dHCI Platinum Beach Resort,2022-08-14,80,259,48,261.77
GreenLake Platinum Heritage Inn,2022-08-14,96,468,69,234.48
Pointnext Signature Residences & Suites,2022-08-14,100,385,68,258.27
ProLiant Place,2022-08-14,84,240,22,215.57
Synergy Golden Grand Hotel,2022-08-14,91,348,56,177.95
Alletra Resort,2022-08-14,81,248,38,227.34
GreenLake Digital Business Suites,2022-08-14,81,280,20,187.07
Apollo Resort & Spa,2022-08-14,94,193,28,185.4
Nimble Inn,2022-08-14,100,238,30,215.34
Ezmeral Grand Hotel,2022-08-14,100,203,27,186.42
Alletra Boutique Hotel,2022-08-14,86,223,33,200.4
Simplivity Golden Plaza Hotel,2022-08-14,100,309,20,162.81
Cray Villas,2022-08-14,78,231,14,255.85
Apollo Diamond Suites,2022-08-14,95,473,45,298.72
Apollo Towers,2022-08-14,97,218,13,264.44
Alletra Diamond Grand Hotel,2022-08-15,81,396,44,277.78
ProLiant Towers,2022-08-15,81,172,21,203.23
Aruba Luxury Lodge,2022-08-15,94,413,73,154.63
