hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Apollo Resort & Spa,2806,1004,69.2,4341,2022-02-01,34,68,10,110.58
Nimble Inn,1061,1474,81.8,4052,2022-02-01,39,108,12,89.74
Ezmeral Grand Hotel,3686,1844,88.6,3299,2022-02-01,33,66,10,110.9
Alletra Boutique Hotel,3601,1938,64.2,4367,2022-02-01,57,255,43,197.27
Simplivity Golden Plaza Hotel,1886,1457,74.2,3937,2022-02-01,60,251,18,168.05
Cray Villas,1365,1896,75.6,3379,2022-02-01,40,169,17,163.31
Apollo Diamond Suites,2147,1046,66.3,4110,2022-02-01,38,165,21,104.56
Apollo Towers,1000,1405,82.6,3321,2022-02-01,58,252,45,207.83
Alletra Diamond Grand Hotel,2465,1003,55.6,3578,2022-02-02,54,246,38,203.31
ProLiant Towers,3886,1814,55.1,3110,2022-02-02,42,124,7,153.77
Aruba Luxury Lodge,2610,1009,64.1,4700,2022-02-02,31,86,15,118.32
InfoSight Boutique Hotel,3274,1021,68.6,3808,2022-02-02,55,120,22,174.26
Primera Grand,1978,1675,72.5,3017,2022-02-02,43,180,22,114.8
dHCI Executive Boutique Hotel,2594,1380,59.4,3224,2022-02-02,42,118,19,164.31
ProLiant Haven,2037,1160,56.6,4912,2022-02-02,41,133,6,123.36
Apollo Executive Beach Resort,2355,1086,66.2,4669,2022-02-02,50,102,7,178.75
Aruba Lodge,3741,1569,62.0,3510,2022-02-02,33,156,28,140.28
Alletra Haven,2010,1360,71.4,4887,2022-02-02,56,227,42,168.78
dHCI Platinum Beach Resort,1931,1262,52.4,3437,2022-02-02,54,153,12,134.58
GreenLake Platinum Heritage Inn,2678,1467,84.3,3211,2022-02-02,41,126,9,120.18
Pointnext Signature Residences & Suites,2647,1342,75.7,4511,2022-02-02,55,152,11,143.71
ProLiant Place,2926,1279,88.6,3825,2022-02-02,59,245,41,221.75
Synergy Golden Grand Hotel,1899,1536,90.8,4468,2022-02-02,37,78,6,155.5
Alletra Resort,2224,1277,78.4,4737,2022-02-02,56,260,49,178.85
GreenLake Digital Business Suites,3635,1511,93.9,3847,2022-02-02,46,132,24,127.36
Apollo Resort & Spa,2703,1934,85.4,3547,2022-02-02,55,169,11,141.3
Nimble Inn,1947,1575,88.8,4562,2022-02-02,50,208,13,180.78
Ezmeral Grand Hotel,2225,1760,60.8,3194,2022-02-02,37,115,7,139.34
Alletra Boutique Hotel,3254,1868,90.5,4862,2022-02-02,55,221,28,165.33
Simplivity Golden Plaza Hotel,1405,1200,68.2,4133,2022-02-02,53,246,24,173.21
Cray Villas,1828,1319,60.9,3317,2022-02-02,56,251,44,181.92
Apollo Diamond Suites,1897,1800,57.4,3864,2022-02-02,31,100,19,112.53
Apollo Towers,2555,1601,80.3,4363,2022-02-02,50,223,15,162.93
Alletra Diamond Grand Hotel,3476,1229,92.5,4145,2022-02-03,60,263,44,225.55
ProLiant Towers,3827,1043,65.4,4293,2022-02-03,41,173,27,156.63
Aruba Luxury Lodge,2490,1066,68.4,4581,2022-02-03,48,186,12,135.75
InfoSight Boutique Hotel,2365,1728,63.7,4479,2022-02-03,45,125,13,174.54
Primera Grand,1607,1212,71.6,4321,2022-02-03,48,151,18,186.06
dHCI Executive Boutique Hotel,2644,1846,83.5,4211,2022-02-03,32,96,13,116.92
ProLiant Haven,3926,1963,89.8,4117,2022-02-03,36,88,4,124.36
Apollo Executive Beach Resort,3411,1158,58.8,3164,2022-02-03,32,117,9,102.69
Aruba Lodge,1461,1846,78.9,4141,2022-02-03,41,96,17,113.52
Alletra Haven,3051,1169,59.0,3406,2022-02-03,39,163,30,152.16
dHCI Platinum Beach Resort,3819,1290,93.0,4576,2022-02-03,46,199,13,184.02
GreenLake Platinum Heritage Inn,3703,1998,90.4,4649,2022-02-03,31,144,16,116.89
Pointnext Signature Residences & Suites,3850,1017,90.6,4786,2022-02-03,59,223,31,209.98
ProLiant Place,2984,1494,81.6,4892,2022-02-03,31,70,13,110.47
Synergy Golden Grand Hotel,2068,1245,60.2,4934,2022-02-03,56,181,10,129.62
Alletra Resort,2814,1679,89.6,3562,2022-02-03,59,251,38,149.64
GreenLake Digital Business Suites,2801,1155,79.1,4400,2022-02-03,40,170,15,149.08
Apollo Resort & Spa,2497,1585,70.4,3507,2022-02-03,32,153,13,95.38
Nimble Inn,1308,1172,85.6,4490,2022-02-03,57,123,23,150.4
Ezmeral Grand Hotel,2620,1887,60.7,3039,2022-02-03,45,153,22,113.59
Alletra Boutique Hotel,2565,1592,61.8,4941,2022-02-03,37,82,15,122.01
Simplivity Golden Plaza Hotel,2096,1146,51.6,3422,2022-02-03,36,170,11,145.46
Cray Villas,3602,1162,61.5,4855,2022-02-03,53,141,11,150.96
Apollo Diamond Suites,2596,1889,69.8,4073,2022-02-03,34,134,23,133.67
Apollo Towers,2994,1833,80.3,4616,2022-02-03,49,123,18,140.88
Alletra Diamond Grand Hotel,3306,1482,87.7,4432,2022-02-04,41,191,15,170.97
ProLiant Towers,2207,1114,60.1,3637,2022-02-04,60,178,9,113.76
Aruba Luxury Lodge,2863,1782,89.5,4531,2022-02-04,30,146,18,106.53
InfoSight Boutique Hotel,2153,1825,65.8,4730,2022-02-04,31,135,7,109.79
Primera Grand,1653,1511,84.2,3320,2022-02-04,34,118,10,102.42
dHCI Executive Boutique Hotel,1043,1283,94.0,4317,2022-02-04,52,219,43,103.03
ProLiant Haven,3656,1521,79.1,4058,2022-02-04,49,147,9,126.61
Apollo Executive Beach Resort,1525,1197,81.0,4410,2022-02-04,55,151,22,158.18
Aruba Lodge,3143,1097,62.5,3020,2022-02-04,52,145,15,167.1
Alletra Haven,2295,1863,68.9,4886,2022-02-04,35,158,29,126.27
dHCI Platinum Beach Resort,2256,1649,53.4,4278,2022-02-04,56,215,26,143.76
GreenLake Platinum Heritage Inn,3335,1981,50.8,4026,2022-02-04,58,213,37,162.19
Pointnext Signature Residences & Suites,2961,1749,75.7,4379,2022-02-04,50,195,22,162.0
ProLiant Place,3364,1018,53.7,3113,2022-02-04,48,238,24,187.39
Synergy Golden Grand Hotel,3991,1236,60.7,4332,2022-02-04,30,111,8,109.93
Alletra Resort,3390,1308,74.4,3927,2022-02-04,57,120,6,138.4
GreenLake Digital Business Suites,3050,1196,59.6,3795,2022-02-04,35,70,4,120.94
Apollo Resort & Spa,3892,1625,94.0,4979,2022-02-04,54,147,14,199.74
Nimble Inn,1754,1367,88.5,4160,2022-02-04,38,99,19,131.48
Ezmeral Grand Hotel,3836,1791,75.5,4568,2022-02-04,57,218,23,133.83
Alletra Boutique Hotel,3440,1662,73.4,3282,2022-02-04,44,184,35,106.43
Simplivity Golden Plaza Hotel,3756,1021,54.4,4719,2022-02-04,51,135,12,169.53
Cray Villas,1608,1496,78.5,4674,2022-02-04,45,124,9,136.27
Apollo Diamond Suites,3024,1646,51.0,3639,2022-02-04,33,141,21,89.92
Apollo Towers,3765,1076,81.8,4317,2022-02-04,53,224,17,178.15
Alletra Diamond Grand Hotel,3813,1362,73.2,3882,2022-02-05,52,113,9,171.54
ProLiant Towers,2882,1149,92.9,3801,2022-02-05,45,208,28,156.71
Aruba Luxury Lodge,1978,1496,82.9,4110,2022-02-05,54,209,27,125.23
InfoSight Boutique Hotel,3812,1828,87.7,3025,2022-02-05,46,149,8,129.08
Primera Grand,1334,1959,69.4,3615,2022-02-05,68,254,13,221.36
dHCI Executive Boutique Hotel,2289,1367,86.2,3262,2022-02-05,58,172,23,194.8
ProLiant Haven,1447,1561,81.5,3022,2022-02-05,67,253,21,247.07
Apollo Executive Beach Resort,2323,1829,54.9,3706,2022-02-05,50,131,17,100.24
Aruba Lodge,1229,1155,66.0,3390,2022-02-05,71,249,32,135.06
Alletra Haven,2156,1863,94.3,3056,2022-02-05,60,193,28,123.69
dHCI Platinum Beach Resort,2074,1291,92.4,4971,2022-02-05,47,180,21,116.61
GreenLake Platinum Heritage Inn,1186,1057,82.9,4191,2022-02-05,64,286,45,221.13
Pointnext Signature Residences & Suites,3113,1448,63.5,4207,2022-02-05,59,134,14,150.0
ProLiant Place,3557,1896,94.2,3697,2022-02-05,44,143,20,159.87
Synergy Golden Grand Hotel,2034,1139,83.3,3299,2022-02-05,56,192,31,202.73
Alletra Resort,2537,1438,68.8,3581,2022-02-05,56,156,11,114.41
GreenLake Digital Business Suites,3100,1158,83.3,4427,2022-02-05,44,94,17,139.93
Apollo Resort & Spa,1667,1329,93.2,3585,2022-02-05,49,154,25,134.05
Nimble Inn,1449,1004,87.2,3283,2022-02-05,57,179,13,207.76
Ezmeral Grand Hotel,1449,1249,93.0,3661,2022-02-05,46,117,11,187.24
Alletra Boutique Hotel,2220,1444,55.7,4256,2022-02-05,36,152,9,138.27
Simplivity Golden Plaza Hotel,2538,1980,59.5,3440,2022-02-05,66,195,14,186.87
Cray Villas,3938,1421,90.2,4009,2022-02-05,51,165,13,170.55
Apollo Diamond Suites,1965,1889,56.7,4167,2022-02-05,45,191,31,114.86
Apollo Towers,3374,1042,90.7,3496,2022-02-05,37,143,23,96.08
Alletra Diamond Grand Hotel,3028,1609,56.9,3928,2022-02-06,50,176,28,169.27
ProLiant Towers,1238,1022,50.3,4267,2022-02-06,46,93,16,122.58
Aruba Luxury Lodge,3827,1936,86.5,3391,2022-02-06,70,185,19,219.63
InfoSight Boutique Hotel,2135,1431,65.1,3319,2022-02-06,64,216,32,191.14
Primera Grand,2997,1955,86.3,4123,2022-02-06,42,113,12,123.15
dHCI Executive Boutique Hotel,2084,1566,87.1,3916,2022-02-06,57,210,19,193.12
ProLiant Haven,1684,1677,60.5,4701,2022-02-06,66,149,8,221.15
Apollo Executive Beach Resort,2172,1423,71.2,3233,2022-02-06,61,217,33,176.89
Aruba Lodge,1610,1717,63.5,4905,2022-02-06,63,297,36,238.74
Alletra Haven,2730,1957,83.2,4890,2022-02-06,59,241,21,226.03
dHCI Platinum Beach Resort,2075,1237,70.9,4767,2022-02-06,47,139,9,102.81
GreenLake Platinum Heritage Inn,1784,1846,80.8,3571,2022-02-06,43,159,31,151.34
Pointnext Signature Residences & Suites,3902,1799,84.8,3373,2022-02-06,58,257,22,204.43
ProLiant Place,2367,1534,70.2,3391,2022-02-06,46,204,30,165.87
Synergy Golden Grand Hotel,2126,1311,72.2,4562,2022-02-06,37,124,11,159.28
Alletra Resort,2059,1851,70.6,3106,2022-02-06,62,235,42,189.59
GreenLake Digital Business Suites,1637,1232,66.6,4379,2022-02-06,48,103,19,159.37
Apollo Resort & Spa,3356,1550,81.8,3420,2022-02-06,61,175,29,204.88
Nimble Inn,2264,1214,84.1,4307,2022-02-06,62,244,46,157.79
Ezmeral Grand Hotel,1763,1210,69.3,4040,2022-02-06,50,124,18,118.37
Alletra Boutique Hotel,2006,1569,57.8,3765,2022-02-06,53,126,10,120.81
Simplivity Golden Plaza Hotel,3462,1950,58.2,4103,2022-02-06,49,123,10,176.97
Cray Villas,3101,1304,75.8,3783,2022-02-06,42,158,17,127.86
Apollo Diamond Suites,1424,1819,88.1,4165,2022-02-06,35,171,28,134.6
Apollo Towers,2049,1814,52.0,3972,2022-02-06,45,92,7,96.38
Alletra Diamond Grand Hotel,1967,1969,91.5,3430,2022-02-07,47,216,40,110.13
ProLiant Towers,1067,1319,88.0,4286,2022-02-07,35,141,13,122.49
Aruba Luxury Lodge,2007,1321,54.5,4497,2022-02-07,41,183,12,133.33
InfoSight Boutique Hotel,1373,1852,87.4,3008,2022-02-07,32,117,13,108.21
Primera Grand,2258,1067,77.1,3061,2022-02-07,60,226,27,192.35
dHCI Executive Boutique Hotel,2792,1945,54.9,4745,2022-02-07,44,108,9,172.7
ProLiant Haven,2832,1242,50.9,4830,2022-02-07,31,143,23,113.02
Apollo Executive Beach Resort,3983,1856,94.3,3521,2022-02-07,47,120,16,133.16
Aruba Lodge,3498,1651,87.5,4384,2022-02-07,37,126,8,107.48
Alletra Haven,1776,1888,64.1,4440,2022-02-07,33,74,14,147.38
dHCI Platinum Beach Resort,1201,1923,71.5,4616,2022-02-07,55,202,19,145.38
GreenLake Platinum Heritage Inn,1709,1581,60.1,4419,2022-02-07,37,77,3,100.05
Pointnext Signature Residences & Suites,2584,1631,74.9,4471,2022-02-07,59,280,54,137.19
ProLiant Place,1508,1378,73.9,3006,2022-02-07,39,153,13,158.27
Synergy Golden Grand Hotel,1241,1183,55.1,4097,2022-02-07,59,236,19,134.47
Alletra Resort,3133,1075,63.9,4485,2022-02-07,54,248,16,200.6
GreenLake Digital Business Suites,2133,1989,61.3,3438,2022-02-07,57,129,14,162.93
Apollo Resort & Spa,3994,1493,58.4,3537,2022-02-07,39,119,6,153.52
Nimble Inn,2257,1615,55.4,4813,2022-02-07,47,153,8,139.78
Ezmeral Grand Hotel,1543,1425,64.2,4822,2022-02-07,44,148,24,136.97
Alletra Boutique Hotel,3748,1726,76.9,3167,2022-02-07,51,214,36,118.57
Simplivity Golden Plaza Hotel,1799,1292,73.8,3524,2022-02-07,45,179,16,175.9
Cray Villas,1599,1892,90.0,4398,2022-02-07,33,73,9,108.05
Apollo Diamond Suites,1272,1762,94.8,4561,2022-02-07,55,143,7,117.02
Apollo Towers,1995,1214,69.1,4635,2022-02-07,55,150,26,195.64
Alletra Diamond Grand Hotel,1532,1066,69.5,3702,2022-02-08,39,126,19,142.94
ProLiant Towers,2115,1776,69.4,4743,2022-02-08,40,137,19,144.0
Aruba Luxury Lodge,2663,1141,50.3,3190,2022-02-08,51,236,45,185.26
InfoSight Boutique Hotel,1590,1695,75.0,3246,2022-02-08,50,225,15,185.11
Primera Grand,1507,1386,51.1,4344,2022-02-08,57,124,22,120.66
dHCI Executive Boutique Hotel,1845,1135,84.0,3320,2022-02-08,56,128,15,204.34
ProLiant Haven,2142,1527,74.5,4563,2022-02-08,58,129,23,217.07
Apollo Executive Beach Resort,3612,1320,52.1,4050,2022-02-08,57,245,44,122.66
Aruba Lodge,1469,1887,71.1,4491,2022-02-08,39,149,22,119.37
Alletra Haven,2855,1300,66.7,3849,2022-02-08,31,107,6,82.34
dHCI Platinum Beach Resort,2877,1249,92.7,4439,2022-02-08,38,152,23,112.71
GreenLake Platinum Heritage Inn,1147,1754,79.8,3413,2022-02-08,46,229,31,136.79
Pointnext Signature Residences & Suites,1147,1458,68.9,4468,2022-02-08,47,186,9,134.81
ProLiant Place,2200,1386,87.8,3365,2022-02-08,36,83,8,113.5
Synergy Golden Grand Hotel,3741,1281,64.3,4440,2022-02-08,34,121,18,95.37
Alletra Resort,1903,1610,86.4,3610,2022-02-08,37,97,18,93.18
GreenLake Digital Business Suites,2901,1793,52.8,4475,2022-02-08,48,230,25,188.09
Apollo Resort & Spa,3107,1350,94.9,4352,2022-02-08,52,145,17,187.12
Nimble Inn,3570,1108,72.6,4392,2022-02-08,42,155,11,172.81
Ezmeral Grand Hotel,3431,1401,68.1,3698,2022-02-08,38,80,7,150.37
Alletra Boutique Hotel,1637,1851,72.4,3598,2022-02-08,50,143,9,198.07
Simplivity Golden Plaza Hotel,2069,1294,94.9,3512,2022-02-08,58,122,15,136.03
Cray Villas,2070,1914,76.0,4744,2022-02-08,36,129,6,147.02
Apollo Diamond Suites,3097,1578,59.8,4541,2022-02-08,56,225,17,180.58
Apollo Towers,3294,1725,50.7,3858,2022-02-08,53,260,19,135.56
Alletra Diamond Grand Hotel,3543,1325,78.0,3826,2022-02-09,55,216,23,188.74
ProLiant Towers,2727,1552,61.7,4811,2022-02-09,48,180,22,150.93
Aruba Luxury Lodge,1598,1170,51.9,4318,2022-02-09,33,148,15,109.91
InfoSight Boutique Hotel,2476,1619,78.7,4408,2022-02-09,55,214,34,133.42
Primera Grand,2406,1681,73.8,3296,2022-02-09,56,242,38,208.91
dHCI Executive Boutique Hotel,1084,1902,55.4,3720,2022-02-09,52,104,13,136.02
ProLiant Haven,3248,1555,79.3,4116,2022-02-09,45,151,25,172.95
Apollo Executive Beach Resort,1743,1186,68.1,3580,2022-02-09,51,229,34,152.12
Aruba Lodge,3236,1436,82.7,4489,2022-02-09,37,179,12,93.3
Alletra Haven,2200,1007,83.6,4308,2022-02-09,31,117,16,91.97
dHCI Platinum Beach Resort,2456,1326,64.5,3989,2022-02-09,48,143,27,157.89
GreenLake Platinum Heritage Inn,1300,1318,52.3,3888,2022-02-09,41,131,16,138.89
Pointnext Signature Residences & Suites,3719,1252,64.6,3869,2022-02-09,34,83,10,86.3
ProLiant Place,1722,1362,60.0,3910,2022-02-09,50,102,17,155.02
Synergy Golden Grand Hotel,3243,1803,78.1,4533,2022-02-09,43,197,9,97.36
Alletra Resort,1347,1910,91.9,3958,2022-02-09,52,146,7,151.49
GreenLake Digital Business Suites,1002,1978,53.9,3396,2022-02-09,54,180,28,156.01
Apollo Resort & Spa,1850,1691,66.1,3576,2022-02-09,48,156,10,114.16
Nimble Inn,3284,1569,94.9,3979,2022-02-09,43,161,11,106.59
Ezmeral Grand Hotel,2582,1106,91.7,4889,2022-02-09,45,129,17,162.67
Alletra Boutique Hotel,2717,1600,59.8,4287,2022-02-09,45,154,21,111.36
Simplivity Golden Plaza Hotel,1663,1225,69.2,4741,2022-02-09,51,253,47,143.47
Cray Villas,3408,1967,87.2,3992,2022-02-09,44,152,8,178.78
Apollo Diamond Suites,3602,1591,74.5,3576,2022-02-09,39,182,30,163.0
Apollo Towers,3343,1556,91.1,3960,2022-02-09,32,111,6,131.83
Alletra Diamond Grand Hotel,1186,1906,81.2,3156,2022-02-10,37,133,25,134.98
ProLiant Towers,3655,1126,91.0,4531,2022-02-10,58,174,30,143.67
Aruba Luxury Lodge,2480,1367,55.4,3352,2022-02-10,57,143,13,216.19
InfoSight Boutique Hotel,2348,1324,55.1,3519,2022-02-10,33,141,20,87.44
Primera Grand,1933,1164,94.7,3054,2022-02-10,44,177,26,172.67
dHCI Executive Boutique Hotel,3216,1730,93.5,4291,2022-02-10,48,105,9,168.31
ProLiant Haven,2685,1086,70.0,4515,2022-02-10,33,146,14,129.31
Apollo Executive Beach Resort,2209,1119,56.0,3455,2022-02-10,35,155,9,113.93
Aruba Lodge,2868,1764,79.3,3245,2022-02-10,33,95,9,132.25
Alletra Haven,2606,1997,80.6,4465,2022-02-10,42,181,12,124.12
dHCI Platinum Beach Resort,1843,1608,74.9,3637,2022-02-10,34,110,20,109.51
GreenLake Platinum Heritage Inn,1541,1858,79.9,4709,2022-02-10,43,112,6,178.93
Pointnext Signature Residences & Suites,1446,1543,51.4,3236,2022-02-10,34,89,7,94.41
ProLiant Place,2613,1377,55.0,3345,2022-02-10,41,118,6,145.39
Synergy Golden Grand Hotel,3949,1306,76.9,3308,2022-02-10,32,89,9,119.73
Alletra Resort,3369,1986,78.1,3881,2022-02-10,33,134,11,117.41
GreenLake Digital Business Suites,1364,1002,91.6,3001,2022-02-10,36,127,20,133.7
Apollo Resort & Spa,3125,1768,64.0,3591,2022-02-10,49,226,13,106.52
Nimble Inn,3534,1368,65.2,4247,2022-02-10,60,162,11,177.05
Ezmeral Grand Hotel,1387,1170,91.0,4457,2022-02-10,38,139,9,132.12
Alletra Boutique Hotel,3190,1436,91.2,4618,2022-02-10,59,153,17,117.82
Simplivity Golden Plaza Hotel,3137,1801,58.5,4178,2022-02-10,56,248,32,126.38
Cray Villas,2587,1604,82.4,3211,2022-02-10,30,70,13,133.22
Apollo Diamond Suites,3751,1623,51.2,4136,2022-02-10,41,133,22,112.01
Apollo Towers,3352,1470,55.3,4498,2022-02-10,36,170,12,97.16
Alletra Diamond Grand Hotel,2376,1448,76.1,3364,2022-02-11,41,188,23,149.84
ProLiant Towers,1980,1627,69.9,4869,2022-02-11,53,243,19,170.5
Aruba Luxury Lodge,2138,1538,85.5,4370,2022-02-11,59,185,33,173.47
InfoSight Boutique Hotel,3099,1329,66.8,3500,2022-02-11,34,159,14,109.5
Primera Grand,2825,1603,51.9,3489,2022-02-11,36,80,12,147.37
dHCI Executive Boutique Hotel,2201,1562,66.4,3739,2022-02-11,34,132,24,129.11
ProLiant Haven,3178,1288,52.0,3376,2022-02-11,59,188,30,123.3
Apollo Executive Beach Resort,1053,1722,91.5,3559,2022-02-11,59,238,39,164.34
Aruba Lodge,2085,1476,58.9,3170,2022-02-11,36,144,19,86.43
Alletra Haven,1936,1827,93.1,3326,2022-02-11,40,184,30,114.33
dHCI Platinum Beach Resort,2486,1405,94.8,4724,2022-02-11,32,83,13,142.83
GreenLake Platinum Heritage Inn,3554,1515,61.4,3231,2022-02-11,60,202,14,216.07
Pointnext Signature Residences & Suites,1714,1795,77.3,3105,2022-02-11,44,165,15,167.31
ProLiant Place,3093,1680,93.0,3960,2022-02-11,47,105,16,187.63
Synergy Golden Grand Hotel,2168,1307,93.3,3379,2022-02-11,40,153,10,91.68
Alletra Resort,3698,1290,88.4,3200,2022-02-11,35,134,17,138.81
GreenLake Digital Business Suites,2315,1400,67.7,3564,2022-02-11,59,222,11,149.35
Apollo Resort & Spa,3081,1565,54.3,3874,2022-02-11,53,241,31,129.49
Nimble Inn,2327,1428,86.5,4371,2022-02-11,46,116,18,113.11
Ezmeral Grand Hotel,3421,1260,64.3,3589,2022-02-11,38,107,18,142.34
Alletra Boutique Hotel,2273,1423,68.8,4219,2022-02-11,38,182,29,101.65
Simplivity Golden Plaza Hotel,1798,1048,52.8,4880,2022-02-11,50,188,25,125.98
Cray Villas,1534,1572,85.5,4482,2022-02-11,42,200,39,128.22
Apollo Diamond Suites,3443,1367,66.0,4945,2022-02-11,37,126,12,99.03
Apollo Towers,3417,1808,74.2,4428,2022-02-11,57,183,11,119.58
Alletra Diamond Grand Hotel,3349,1439,57.5,3012,2022-02-12,65,210,15,123.46
ProLiant Towers,1127,1088,92.1,4332,2022-02-12,72,260,49,181.15
Aruba Luxury Lodge,3816,1985,75.9,4712,2022-02-12,72,190,17,228.51
InfoSight Boutique Hotel,1429,1114,64.9,3886,2022-02-12,47,183,35,163.91
Primera Grand,3278,1147,71.4,4156,2022-02-12,58,225,44,124.35
dHCI Executive Boutique Hotel,3675,1778,60.7,4819,2022-02-12,52,238,25,200.73
ProLiant Haven,1724,1791,64.3,4732,2022-02-12,68,254,42,245.94
Apollo Executive Beach Resort,3319,1762,70.7,3056,2022-02-12,42,176,14,130.01
Aruba Lodge,1162,1991,87.2,3693,2022-02-12,60,185,35,128.27
Alletra Haven,2571,1183,57.8,4855,2022-02-12,64,196,18,139.74
dHCI Platinum Beach Resort,1658,1410,67.1,3847,2022-02-12,65,290,32,241.41
GreenLake Platinum Heritage Inn,1688,1210,92.5,3217,2022-02-12,45,181,26,102.18
Pointnext Signature Residences & Suites,3577,1570,55.6,4513,2022-02-12,57,277,27,201.83
ProLiant Place,1170,1974,88.7,3623,2022-02-12,41,108,6,115.74
Synergy Golden Grand Hotel,2526,1240,56.7,4439,2022-02-12,61,281,39,185.09
Alletra Resort,1009,1057,69.0,3654,2022-02-12,38,177,30,105.43
GreenLake Digital Business Suites,3045,1663,70.0,3199,2022-02-12,55,178,22,108.3
Apollo Resort & Spa,3521,1551,75.3,3242,2022-02-12,62,200,27,193.27
Nimble Inn,2206,1658,55.0,4589,2022-02-12,40,126,20,101.09
Ezmeral Grand Hotel,3252,1706,94.0,3053,2022-02-12,53,188,11,137.69
Alletra Boutique Hotel,3685,1830,85.4,3258,2022-02-12,38,185,11,113.46
Simplivity Golden Plaza Hotel,1045,1275,79.7,4536,2022-02-12,51,131,11,178.24
Cray Villas,1667,1615,72.2,4231,2022-02-12,61,137,20,119.19
Apollo Diamond Suites,1495,1033,84.9,4828,2022-02-12,63,284,42,158.07
Apollo Towers,2721,1255,69.5,3933,2022-02-12,40,140,17,169.74
Alletra Diamond Grand Hotel,2971,1994,91.0,3897,2022-02-13,59,270,33,154.89
ProLiant Towers,3879,1844,66.1,3315,2022-02-13,40,80,8,154.29
Aruba Luxury Lodge,2628,1927,62.7,3669,2022-02-13,59,197,24,188.63
InfoSight Boutique Hotel,1721,1319,88.7,3946,2022-02-13,39,187,34,135.01
Primera Grand,2092,1201,58.2,3789,2022-02-13,52,116,17,141.01
dHCI Executive Boutique Hotel,1506,1308,53.2,3116,2022-02-13,64,250,45,175.4
ProLiant Haven,2497,1793,79.2,3088,2022-02-13,64,139,14,124.58
Apollo Executive Beach Resort,2953,1043,79.6,4422,2022-02-13,43,165,19,170.07
Aruba Lodge,2816,1680,59.8,3659,2022-02-13,64,296,41,230.1
Alletra Haven,2049,1361,80.1,3248,2022-02-13,55,231,21,175.65
dHCI Platinum Beach Resort,2094,1340,88.5,4230,2022-02-13,46,208,41,105.51
GreenLake Platinum Heritage Inn,2681,1334,67.1,3793,2022-02-13,37,81,13,151.08
Pointnext Signature Residences & Suites,2948,1549,94.5,3665,2022-02-13,59,122,18,126.4
ProLiant Place,2269,1317,79.4,3212,2022-02-13,54,256,45,145.65
Synergy Golden Grand Hotel,1909,1698,67.0,3482,2022-02-13,43,150,29,116.97
Alletra Resort,3224,1863,80.4,3720,2022-02-13,50,201,22,148.11
GreenLake Digital Business Suites,3136,1987,66.9,3803,2022-02-13,41,105,19,126.7
Apollo Resort & Spa,2210,1828,79.0,3102,2022-02-13,72,309,42,137.47
Nimble Inn,1971,1275,87.2,3628,2022-02-13,60,221,23,173.38
Ezmeral Grand Hotel,3612,1676,78.3,4304,2022-02-13,55,144,17,127.36
Alletra Boutique Hotel,1085,1557,63.9,3760,2022-02-13,43,155,8,130.62
Simplivity Golden Plaza Hotel,2152,1916,67.5,3445,2022-02-13,49,130,14,145.54
Cray Villas,3487,1808,71.6,3445,2022-02-13,44,116,15,112.18
Apollo Diamond Suites,2690,1059,68.4,3068,2022-02-13,59,220,42,115.39
Apollo Towers,1164,1512,64.6,4556,2022-02-13,54,127,20,147.65
Alletra Diamond Grand Hotel,2249,1991,73.4,4781,2022-02-14,49,114,10,188.21
ProLiant Towers,1868,1133,55.2,3035,2022-02-14,36,73,10,114.9
Aruba Luxury Lodge,2171,1155,78.0,4346,2022-02-14,38,97,15,112.21
InfoSight Boutique Hotel,2558,1611,92.9,3693,2022-02-14,52,253,25,153.51
Primera Grand,1968,1844,92.9,4778,2022-02-14,42,159,16,171.77
dHCI Executive Boutique Hotel,2128,1198,58.0,4371,2022-02-14,57,237,13,217.32
ProLiant Haven,1656,1929,64.2,3334,2022-02-14,44,114,18,162.61
Apollo Executive Beach Resort,3621,1010,56.4,3125,2022-02-14,30,62,5,126.79
Aruba Lodge,2703,1826,75.3,3425,2022-02-14,50,123,13,188.33
Alletra Haven,3306,1117,52.3,4615,2022-02-14,60,272,48,222.23
dHCI Platinum Beach Resort,1615,1553,64.1,4696,2022-02-14,34,114,19,146.67
GreenLake Platinum Heritage Inn,1799,1518,67.8,4592,2022-02-14,35,74,12,153.72
Pointnext Signature Residences & Suites,3745,1338,70.6,3205,2022-02-14,42,136,26,98.43
ProLiant Place,1147,1650,76.9,4584,2022-02-14,44,201,27,127.72
Synergy Golden Grand Hotel,2079,1801,85.1,3936,2022-02-14,35,130,18,105.79
Alletra Resort,1898,1236,83.3,4555,2022-02-14,55,270,30,191.69
GreenLake Digital Business Suites,3874,1827,68.7,3980,2022-02-14,47,196,11,104.86
Apollo Resort & Spa,2888,1600,68.3,3436,2022-02-14,56,166,18,170.05
Nimble Inn,2300,1801,85.9,3361,2022-02-14,44,157,17,161.3
Ezmeral Grand Hotel,2206,1142,93.5,3207,2022-02-14,53,137,15,107.58
Alletra Boutique Hotel,3400,1851,94.9,3697,2022-02-14,34,99,7,141.19
Simplivity Golden Plaza Hotel,2775,1640,51.3,4307,2022-02-14,39,155,22,104.67
Cray Villas,3078,1456,84.6,3825,2022-02-14,45,145,17,124.63
