hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha
GreenLake Digital Business Suites,3332,1659,69.2,4419,2022-04-11
Apollo Resort & Spa,3128,1537,91.2,4851,2022-04-11
Nimble Inn,1303,1481,93.8,4426,2022-04-11
Ezmeral Grand Hotel,2368,1188,56.9,4598,2022-04-11
Alletra Boutique Hotel,3186,1418,61.5,3526,2022-04-11
Simplivity Golden Plaza Hotel,1232,1368,90.9,4648,2022-04-11
Cray Villas,1816,1669,62.1,4897,2022-04-11
Apollo Diamond Suites,3577,1068,50.5,3683,2022-04-11
Apollo Towers,3158,1835,75.9,4447,2022-04-11
Alletra Diamond Grand Hotel,3192,1256,50.7,3688,2022-04-12
ProLiant Towers,3252,1694,77.0,4985,2022-04-12
Aruba Luxury Lodge,2795,1010,63.7,3577,2022-04-12
InfoSight Boutique Hotel,2860,1741,51.3,3251,2022-04-12
Primera Grand,1908,1371,78.5,4826,2022-04-12
dHCI Executive Boutique Hotel,3345,1216,87.7,3287,2022-04-12
ProLiant Haven,3353,1824,72.2,3117,2022-04-12
Apollo Executive Beach Resort,3217,1018,51.4,4325,2022-04-12
Aruba Lodge,1921,1696,71.6,3517,2022-04-12
Alletra Haven,1142,1207,73.8,4600,2022-04-12
dHCI Platinum Beach Resort,2377,1739,80.3,4840,2022-04-12
GreenLake Platinum Heritage Inn,3417,1458,87.7,3698,2022-04-12
Pointnext Signature Residences & Suites,2430,1554,55.1,4900,2022-04-12
ProLiant Place,2326,1818,85.1,3485,2022-04-12
Synergy Golden Grand Hotel,3731,1457,89.9,4588,2022-04-12
Alletra Resort,2524,1798,66.5,4357,2022-04-12
GreenLake Digital Business Suites,2608,1267,52.0,3604,2022-04-12
Apollo Resort & Spa,1947,1322,76.4,3717,2022-04-12
Nimble Inn,2529,1170,63.9,4737,2022-04-12
Ezmeral Grand Hotel,3971,1447,80.1,4507,2022-04-12
Alletra Boutique Hotel,2836,1869,81.2,3334,2022-04-12
Simplivity Golden Plaza Hotel,2458,1880,78.8,3534,2022-04-12
Cray Villas,2146,1266,82.3,4537,2022-04-12
Apollo Diamond Suites,1538,1905,71.6,4278,2022-04-12
Apollo Towers,2204,1222,90.5,4260,2022-04-12
Alletra Diamond Grand Hotel,1415,1205,68.1,3577,2022-04-13
ProLiant Towers,1952,1431,74.3,3055,2022-04-13
Aruba Luxury Lodge,3115,1303,77.2,4927,2022-04-13
InfoSight Boutique Hotel,1651,1107,59.3,4443,2022-04-13
Primera Grand,3373,1046,78.0,3741,2022-04-13
dHCI Executive Boutique Hotel,1685,1486,56.2,4049,2022-04-13
ProLiant Haven,2234,1984,84.5,4080,2022-04-13
Apollo Executive Beach Resort,1525,1785,88.1,4063,2022-04-13
Aruba Lodge,2749,1400,62.4,4721,2022-04-13
Alletra Haven,2145,1703,80.0,4509,2022-04-13
dHCI Platinum Beach Resort,1720,1770,88.9,4707,2022-04-13
GreenLake Platinum Heritage Inn,2893,1397,53.3,3945,2022-04-13
Pointnext Signature Residences & Suites,3974,1739,63.0,3632,2022-04-13
ProLiant Place,1913,1402,78.5,3042,2022-04-13
Synergy Golden Grand Hotel,3454,1971,79.1,3891,2022-04-13
Alletra Resort,1607,1339,60.3,4293,2022-04-13
GreenLake Digital Business Suites,3242,1206,63.6,4397,2022-04-13
Apollo Resort & Spa,1393,1622,52.3,3556,2022-04-13
Nimble Inn,3410,1660,56.7,4104,2022-04-13
Ezmeral Grand Hotel,2797,1492,77.8,3528,2022-04-13
Alletra Boutique Hotel,1558,1170,56.7,4307,2022-04-13
Simplivity Golden Plaza Hotel,1536,1412,62.9,3813,2022-04-13
Cray Villas,1735,1954,56.8,3619,2022-04-13
Apollo Diamond Suites,1684,1650,75.5,3286,2022-04-13
Apollo Towers,3335,1964,79.3,3559,2022-04-13
Alletra Diamond Grand Hotel,1276,1595,51.1,3674,2022-04-14
ProLiant Towers,3177,1564,65.6,4301,2022-04-14
Aruba Luxury Lodge,1662,1694,59.4,3516,2022-04-14
InfoSight Boutique Hotel,2408,1178,66.7,4758,2022-04-14
Primera Grand,3949,1479,86.5,4362,2022-04-14
dHCI Executive Boutique Hotel,1476,1525,65.6,4863,2022-04-14
ProLiant Haven,2953,1410,53.5,3038,2022-04-14
Apollo Executive Beach Resort,1602,1457,69.2,3639,2022-04-14
Aruba Lodge,2348,1035,54.1,3526,2022-04-14
Alletra Haven,3884,1881,79.3,4535,2022-04-14
dHCI Platinum Beach Resort,1740,1318,88.4,4628,2022-04-14
GreenLake Platinum Heritage Inn,3898,1964,62.1,4877,2022-04-14
Pointnext Signature Residences & Suites,2669,1128,59.6,4081,2022-04-14
ProLiant Place,2207,1212,53.6,3333,2022-04-14
Synergy Golden Grand Hotel,3596,1306,60.8,3163,2022-04-14
Alletra Resort,2238,1341,66.7,3800,2022-04-14
GreenLake Digital Business Suites,1928,1220,87.5,3299,2022-04-14
Apollo Resort & Spa,3532,1310,53.5,3528,2022-04-14
Nimble Inn,2347,1870,67.4,3863,2022-04-14
Ezmeral Grand Hotel,2204,1445,79.4,3197,2022-04-14
Alletra Boutique Hotel,3590,1326,92.0,4533,2022-04-14
Simplivity Golden Plaza Hotel,3496,1208,93.5,4422,2022-04-14
Cray Villas,2451,1962,59.6,3372,2022-04-14
Apollo Diamond Suites,1633,1851,89.0,4539,2022-04-14
Apollo Towers,3185,1913,76.5,4454,2022-04-14
Alletra Diamond Grand Hotel,3790,1079,90.6,4079,2022-04-15
ProLiant Towers,3310,1074,81.8,3371,2022-04-15
Aruba Luxury Lodge,3694,1129,84.9,4158,2022-04-15
InfoSight Boutique Hotel,3078,1725,79.1,3572,2022-04-15
Primera Grand,1889,1283,80.4,4733,2022-04-15
dHCI Executive Boutique Hotel,2782,1084,57.6,3001,2022-04-15
ProLiant Haven,2148,1980,76.0,3113,2022-04-15
Apollo Executive Beach Resort,1504,1848,52.3,4891,2022-04-15
Aruba Lodge,2556,1408,58.7,3197,2022-04-15
Alletra Haven,2932,1708,92.9,3764,2022-04-15
dHCI Platinum Beach Resort,2800,1730,62.3,3568,2022-04-15
GreenLake Platinum Heritage Inn,3866,1660,66.3,3393,2022-04-15
Pointnext Signature Residences & Suites,2438,1291,54.3,4189,2022-04-15
ProLiant Place,1949,1129,65.0,3619,2022-04-15
Synergy Golden Grand Hotel,2447,1838,85.3,4617,2022-04-15
Alletra Resort,3197,1193,57.0,3693,2022-04-15
GreenLake Digital Business Suites,2777,1431,76.2,4605,2022-04-15
Apollo Resort & Spa,2419,1363,66.9,3348,2022-04-15
Nimble Inn,1158,1470,69.1,3225,2022-04-15
Ezmeral Grand Hotel,1431,1980,66.5,4091,2022-04-15
Alletra Boutique Hotel,2763,1023,86.9,3854,2022-04-15
Simplivity Golden Plaza Hotel,1044,1155,75.7,3478,2022-04-15
Cray Villas,3350,1700,83.6,4406,2022-04-15
Apollo Diamond Suites,1256,1772,93.2,4694,2022-04-15
Apollo Towers,1809,1432,64.8,4745,2022-04-15
Alletra Diamond Grand Hotel,3867,1371,68.9,4065,2022-04-16
ProLiant Towers,2453,1653,70.0,3110,2022-04-16
Aruba Luxury Lodge,3732,1807,75.6,4272,2022-04-16
InfoSight Boutique Hotel,2030,1045,59.3,4446,2022-04-16
Primera Grand,3307,1981,62.9,3496,2022-04-16
dHCI Executive Boutique Hotel,2221,1790,62.1,4986,2022-04-16
ProLiant Haven,1750,1270,55.0,3863,2022-04-16
Apollo Executive Beach Resort,2589,1066,76.7,4192,2022-04-16
Aruba Lodge,2384,1637,86.2,4319,2022-04-16
Alletra Haven,1749,1261,88.3,3446,2022-04-16
dHCI Platinum Beach Resort,3923,1636,74.0,4041,2022-04-16
GreenLake Platinum Heritage Inn,3822,1179,62.3,4546,2022-04-16
Pointnext Signature Residences & Suites,2203,1403,94.9,3137,2022-04-16
ProLiant Place,1233,1565,50.9,4175,2022-04-16
Synergy Golden Grand Hotel,1073,1348,70.2,3997,2022-04-16
Alletra Resort,3717,1552,56.0,4635,2022-04-16
GreenLake Digital Business Suites,3637,1056,70.1,3660,2022-04-16
Apollo Resort & Spa,3794,1085,74.9,3982,2022-04-16
Nimble Inn,2697,1417,90.0,3185,2022-04-16
Ezmeral Grand Hotel,1353,1222,80.4,4408,2022-04-16
Alletra Boutique Hotel,1793,1512,63.6,4152,2022-04-16
Simplivity Golden Plaza Hotel,2002,1775,56.9,3444,2022-04-16
Cray Villas,1484,1764,83.0,4024,2022-04-16
Apollo Diamond Suites,1165,1760,89.2,3290,2022-04-16
Apollo Towers,2137,1993,68.3,4015,2022-04-16
Alletra Diamond Grand Hotel,1449,1511,84.2,4939,2022-04-17
ProLiant Towers,2206,1994,68.1,3424,2022-04-17
Aruba Luxury Lodge,3708,1370,64.4,3334,2022-04-17
InfoSight Boutique Hotel,3145,1501,90.1,3079,2022-04-17
Primera Grand,3607,1868,78.6,4029,2022-04-17
dHCI Executive Boutique Hotel,2892,1987,81.4,4375,2022-04-17
ProLiant Haven,2338,1337,86.6,4868,2022-04-17
Apollo Executive Beach Resort,2397,1442,58.1,3211,2022-04-17
Aruba Lodge,2429,1969,84.0,4566,2022-04-17
Alletra Haven,1968,1223,50.0,3252,2022-04-17
dHCI Platinum Beach Resort,1090,1716,56.7,4910,2022-04-17
GreenLake Platinum Heritage Inn,2363,1881,83.8,3435,2022-04-17
Pointnext Signature Residences & Suites,1264,1994,84.5,3536,2022-04-17
ProLiant Place,1086,1677,84.1,3561,2022-04-17
Synergy Golden Grand Hotel,1414,1007,51.1,3188,2022-04-17
Alletra Resort,1009,1904,90.9,3123,2022-04-17
GreenLake Digital Business Suites,3793,1425,93.7,3805,2022-04-17
Apollo Resort & Spa,2909,1632,64.3,4225,2022-04-17
Nimble Inn,1262,1990,70.6,3022,2022-04-17
Ezmeral Grand Hotel,1387,1301,69.0,4440,2022-04-17
Alletra Boutique Hotel,3613,1633,66.0,3836,2022-04-17
Simplivity Golden Plaza Hotel,1368,1278,90.2,4002,2022-04-17
Cray Villas,2695,1273,74.1,4066,2022-04-17
Apollo Diamond Suites,2103,1020,76.1,4963,2022-04-17
Apollo Towers,2053,1446,53.6,4085,2022-04-17
Alletra Diamond Grand Hotel,2688,1673,91.9,3860,2022-04-18
ProLiant Towers,1811,1877,53.8,4903,2022-04-18
Aruba Luxury Lodge,1434,1363,75.2,4500,2022-04-18
InfoSight Boutique Hotel,1834,1925,94.6,4902,2022-04-18
Primera Grand,2175,1192,66.2,3274,2022-04-18
dHCI Executive Boutique Hotel,2934,1847,55.4,3331,2022-04-18
ProLiant Haven,2914,1021,56.9,4134,2022-04-18
Apollo Executive Beach Resort,2408,1768,80.4,4096,2022-04-18
Aruba Lodge,3055,1665,67.7,4802,2022-04-18
Alletra Haven,1115,1701,74.3,4411,2022-04-18
dHCI Platinum Beach Resort,2916,1107,78.5,4301,2022-04-18
GreenLake Platinum Heritage Inn,3782,1813,71.8,3912,2022-04-18
Pointnext Signature Residences & Suites,3323,1691,65.9,3647,2022-04-18
ProLiant Place,1164,1584,89.3,4997,2022-04-18
Synergy Golden Grand Hotel,1991,1518,68.6,4346,2022-04-18
Alletra Resort,1400,1071,53.0,4273,2022-04-18
GreenLake Digital Business Suites,2052,1693,50.5,4590,2022-04-18
Apollo Resort & Spa,2431,1104,59.8,4140,2022-04-18
Nimble Inn,1348,1423,69.3,4127,2022-04-18
Ezmeral Grand Hotel,2304,1148,68.7,4431,2022-04-18
Alletra Boutique Hotel,2890,1327,87.1,4784,2022-04-18
Simplivity Golden Plaza Hotel,3028,1991,70.0,4982,2022-04-18
Cray Villas,2276,1784,73.0,3846,2022-04-18
Apollo Diamond Suites,1339,1558,68.2,4290,2022-04-18
Apollo Towers,3390,1492,76.6,3233,2022-04-18
Alletra Diamond Grand Hotel,1536,1756,62.6,3105,2022-04-19
ProLiant Towers,2077,1118,56.8,3437,2022-04-19
Aruba Luxury Lodge,3038,1080,77.8,3060,2022-04-19
InfoSight Boutique Hotel,2136,1910,92.2,4664,2022-04-19
Primera Grand,1635,1712,94.7,3298,2022-04-19
dHCI Executive Boutique Hotel,1494,1289,87.1,3828,2022-04-19
ProLiant Haven,3276,1795,54.9,3119,2022-04-19
Apollo Executive Beach Resort,1111,1888,72.9,3747,2022-04-19
Aruba Lodge,3914,1530,74.3,3597,2022-04-19
Alletra Haven,1812,1988,83.3,3646,2022-04-19
dHCI Platinum Beach Resort,1828,1221,80.4,3877,2022-04-19
GreenLake Platinum Heritage Inn,1156,1672,52.1,3810,2022-04-19
Pointnext Signature Residences & Suites,1881,1909,92.7,4009,2022-04-19
ProLiant Place,1381,1187,66.2,3366,2022-04-19
Synergy Golden Grand Hotel,3506,1928,85.7,3292,2022-04-19
Alletra Resort,2821,1910,59.3,4805,2022-04-19
GreenLake Digital Business Suites,1009,1694,53.5,4138,2022-04-19
Apollo Resort & Spa,1441,1386,54.1,4116,2022-04-19
Nimble Inn,3215,1514,76.5,3258,2022-04-19
Ezmeral Grand Hotel,3283,1853,67.3,3158,2022-04-19
Alletra Boutique Hotel,1666,1566,51.6,3869,2022-04-19
Simplivity Golden Plaza Hotel,2950,1564,70.0,3404,2022-04-19
Cray Villas,1763,1712,61.0,4409,2022-04-19
Apollo Diamond Suites,3275,1803,86.5,4700,2022-04-19
Apollo Towers,2865,1464,69.6,4791,2022-04-19
Alletra Diamond Grand Hotel,1520,1724,89.3,4882,2022-04-20
ProLiant Towers,1746,1520,54.7,4534,2022-04-20
Aruba Luxury Lodge,3113,1744,61.8,3677,2022-04-20
InfoSight Boutique Hotel,2030,1985,63.2,4004,2022-04-20
Primera Grand,3355,1610,66.9,3373,2022-04-20
dHCI Executive Boutique Hotel,1358,1258,88.2,3927,2022-04-20
ProLiant Haven,1209,1140,89.6,3762,2022-04-20
Apollo Executive Beach Resort,2543,1110,84.8,4598,2022-04-20
Aruba Lodge,1392,1188,80.1,3532,2022-04-20
Alletra Haven,1908,1294,59.6,3857,2022-04-20
dHCI Platinum Beach Resort,1932,1540,90.6,4555,2022-04-20
GreenLake Platinum Heritage Inn,1445,1644,80.0,3613,2022-04-20
Pointnext Signature Residences & Suites,2240,1855,77.8,4337,2022-04-20
ProLiant Place,3573,1641,89.4,3517,2022-04-20
Synergy Golden Grand Hotel,1789,1740,74.3,3954,2022-04-20
Alletra Resort,2148,1260,66.0,3166,2022-04-20
GreenLake Digital Business Suites,2579,1929,82.7,3046,2022-04-20
Apollo Resort & Spa,2193,1691,70.0,3397,2022-04-20
Nimble Inn,1643,1767,71.9,3101,2022-04-20
Ezmeral Grand Hotel,3925,1475,63.6,4168,2022-04-20
Alletra Boutique Hotel,2608,1727,86.5,3637,2022-04-20
Simplivity Golden Plaza Hotel,2131,1402,52.5,4995,2022-04-20
Cray Villas,2260,1105,92.2,3484,2022-04-20
Apollo Diamond Suites,3019,1145,54.9,3032,2022-04-20
Apollo Towers,2185,1516,75.9,4511,2022-04-20
Alletra Diamond Grand Hotel,1048,1992,62.7,4738,2022-04-21
ProLiant Towers,2338,1287,81.5,4215,2022-04-21
Aruba Luxury Lodge,3042,1349,57.3,4638,2022-04-21
InfoSight Boutique Hotel,3433,1750,69.2,3939,2022-04-21
Primera Grand,3865,1405,52.1,3047,2022-04-21
dHCI Executive Boutique Hotel,3826,1984,94.9,3578,2022-04-21
ProLiant Haven,3228,1395,85.3,4157,2022-04-21
Apollo Executive Beach Resort,3949,1377,67.3,4093,2022-04-21
Aruba Lodge,1984,1159,65.3,3880,2022-04-21
Alletra Haven,3342,1900,82.8,3079,2022-04-21
dHCI Platinum Beach Resort,3366,1423,79.8,4625,2022-04-21
GreenLake Platinum Heritage Inn,1497,1775,71.5,3977,2022-04-21
Pointnext Signature Residences & Suites,1477,1665,63.4,3344,2022-04-21
ProLiant Place,2038,1069,79.1,3566,2022-04-21
Synergy Golden Grand Hotel,3255,1905,61.1,4581,2022-04-21
Alletra Resort,1850,1091,69.7,3939,2022-04-21
GreenLake Digital Business Suites,1113,1768,84.9,3993,2022-04-21
Apollo Resort & Spa,3581,1267,75.3,4570,2022-04-21
Nimble Inn,3328,1308,94.2,4813,2022-04-21
Ezmeral Grand Hotel,1457,1075,94.6,4687,2022-04-21
Alletra Boutique Hotel,3931,1476,60.2,4441,2022-04-21
Simplivity Golden Plaza Hotel,1483,2000,94.6,3887,2022-04-21
Cray Villas,1892,1233,54.9,4608,2022-04-21
Apollo Diamond Suites,1380,1100,79.1,4597,2022-04-21
Apollo Towers,2140,1532,76.2,3281,2022-04-21
Alletra Diamond Grand Hotel,2341,1573,82.2,3867,2022-04-22
ProLiant Towers,3031,1492,65.8,4426,2022-04-22
Aruba Luxury Lodge,1778,1365,58.9,4358,2022-04-22
InfoSight Boutique Hotel,1299,1113,87.7,4334,2022-04-22
Primera Grand,2524,1374,69.0,4313,2022-04-22
dHCI Executive Boutique Hotel,3350,1912,88.5,4857,2022-04-22
ProLiant Haven,1064,1065,70.0,4778,2022-04-22
Apollo Executive Beach Resort,1811,1670,90.7,3243,2022-04-22
Aruba Lodge,1176,1149,63.7,3366,2022-04-22
Alletra Haven,1983,1491,56.8,4895,2022-04-22
dHCI Platinum Beach Resort,2152,1301,92.4,3581,2022-04-22
GreenLake Platinum Heritage Inn,3800,1980,88.4,3207,2022-04-22
Pointnext Signature Residences & Suites,3068,1878,60.6,3458,2022-04-22
ProLiant Place,2573,1200,57.1,3459,2022-04-22
Synergy Golden Grand Hotel,3182,1316,83.7,3941,2022-04-22
Alletra Resort,1860,1873,71.2,3843,2022-04-22
GreenLake Digital Business Suites,1542,1090,90.7,3232,2022-04-22
Apollo Resort & Spa,1325,1266,55.7,4082,2022-04-22
Nimble Inn,2431,1011,74.0,4790,2022-04-22
Ezmeral Grand Hotel,2137,1616,68.8,3431,2022-04-22
Alletra Boutique Hotel,2801,1956,74.2,3623,2022-04-22
Simplivity Golden Plaza Hotel,3161,1065,89.3,3634,2022-04-22
Cray Villas,3121,1886,68.2,4940,2022-04-22
Apollo Diamond Suites,2277,1476,86.6,4646,2022-04-22
Apollo Towers,2642,1625,51.2,3456,2022-04-22
Alletra Diamond Grand Hotel,3778,1154,56.9,3346,2022-04-23
ProLiant Towers,1917,1887,81.1,4609,2022-04-23
Aruba Luxury Lodge,1396,1936,71.3,4701,2022-04-23
InfoSight Boutique Hotel,3848,1720,53.0,3503,2022-04-23
Primera Grand,1704,1998,66.9,3764,2022-04-23
dHCI Executive Boutique Hotel,1365,1357,77.4,4187,2022-04-23
ProLiant Haven,3572,1376,75.0,4724,2022-04-23
Apollo Executive Beach Resort,2916,1003,89.6,3137,2022-04-23
Aruba Lodge,1683,1702,51.6,4682,2022-04-23
Alletra Haven,3941,1330,87.3,3660,2022-04-23
dHCI Platinum Beach Resort,1675,1596,93.8,3392,2022-04-23
GreenLake Platinum Heritage Inn,2739,1202,76.8,3197,2022-04-23
Pointnext Signature Residences & Suites,2078,1085,54.8,4641,2022-04-23
ProLiant Place,3640,1881,81.5,3100,2022-04-23
Synergy Golden Grand Hotel,1096,1386,87.8,4370,2022-04-23
Alletra Resort,2866,1117,57.4,3887,2022-04-23
GreenLake Digital Business Suites,2509,1656,74.9,4261,2022-04-23
Apollo Resort & Spa,3127,1124,56.1,4593,2022-04-23
Nimble Inn,2533,1183,52.8,3398,2022-04-23
Ezmeral Grand Hotel,2428,1776,76.1,3718,2022-04-23
Alletra Boutique Hotel,3449,1838,63.7,4749,2022-04-23
Simplivity Golden Plaza Hotel,2903,1033,56.6,4168,2022-04-23
Cray Villas,3622,1095,58.5,3722,2022-04-23
Apollo Diamond Suites,3550,1704,80.4,3958,2022-04-23
Apollo Towers,3695,1550,87.8,3002,2022-04-23
Alletra Diamond Grand Hotel,2401,1091,81.6,4787,2022-04-24
ProLiant Towers,1745,1053,79.0,3016,2022-04-24
Aruba Luxury Lodge,3971,1835,51.2,4319,2022-04-24
InfoSight Boutique Hotel,1595,1123,91.9,4284,2022-04-24
Primera Grand,1657,1931,69.2,3929,2022-04-24
dHCI Executive Boutique Hotel,2095,1687,62.8,3138,2022-04-24
ProLiant Haven,2565,1480,69.4,3311,2022-04-24
Apollo Executive Beach Resort,2837,1599,56.7,3541,2022-04-24
Aruba Lodge,1207,1104,57.3,4308,2022-04-24
Alletra Haven,3139,1989,61.3,4463,2022-04-24
dHCI Platinum Beach Resort,2791,1149,76.9,3564,2022-04-24
GreenLake Platinum Heritage Inn,3537,1890,76.0,3103,2022-04-24
Pointnext Signature Residences & Suites,3904,1113,65.7,4530,2022-04-24
ProLiant Place,3014,1117,71.0,4260,2022-04-24
Synergy Golden Grand Hotel,3667,1182,91.2,3433,2022-04-24
Alletra Resort,1051,1881,68.7,3698,2022-04-24
GreenLake Digital Business Suites,1133,1774,83.0,4709,2022-04-24
Apollo Resort & Spa,2215,1295,77.6,4130,2022-04-24
Nimble Inn,2184,1061,70.7,3842,2022-04-24
Ezmeral Grand Hotel,2531,1620,76.8,4389,2022-04-24
Alletra Boutique Hotel,3662,1110,86.5,3683,2022-04-24
Simplivity Golden Plaza Hotel,1023,1885,53.6,4883,2022-04-24
Cray Villas,3302,1413,75.1,4601,2022-04-24
Apollo Diamond Suites,1258,1303,58.1,3436,2022-04-24
Apollo Towers,3962,1432,77.4,3055,2022-04-24
Alletra Diamond Grand Hotel,1256,1844,93.4,4522,2022-04-25
ProLiant Towers,1160,1032,72.9,4179,2022-04-25
Aruba Luxury Lodge,3604,1307,84.6,4282,2022-04-25
InfoSight Boutique Hotel,1080,1247,55.8,4465,2022-04-25
Primera Grand,2835,1459,89.1,3613,2022-04-25
dHCI Executive Boutique Hotel,2390,1242,85.5,3629,2022-04-25
ProLiant Haven,2167,1306,83.5,4880,2022-04-25
Apollo Executive Beach Resort,3346,1029,92.1,3781,2022-04-25
Aruba Lodge,3809,1182,87.2,4908,2022-04-25
Alletra Haven,3585,1936,91.9,4151,2022-04-25
dHCI Platinum Beach Resort,3586,1627,58.2,3773,2022-04-25
GreenLake Platinum Heritage Inn,3890,1738,80.2,4200,2022-04-25
Pointnext Signature Residences & Suites,1388,1173,62.4,4322,2022-04-25
ProLiant Place,2429,1975,61.3,4405,2022-04-25
Synergy Golden Grand Hotel,1983,1448,56.2,4599,2022-04-25
Alletra Resort,1426,1931,76.8,4263,2022-04-25
GreenLake Digital Business Suites,1328,1600,63.3,3489,2022-04-25
Apollo Resort & Spa,2313,1297,62.0,4709,2022-04-25
Nimble Inn,1616,1527,91.9,4098,2022-04-25
Ezmeral Grand Hotel,1996,1865,58.2,4660,2022-04-25
Alletra Boutique Hotel,1143,1096,70.1,4570,2022-04-25
Simplivity Golden Plaza Hotel,1479,1392,84.9,4102,2022-04-25
Cray Villas,2321,1457,52.7,3149,2022-04-25
Apollo Diamond Suites,2398,1675,74.2,4645,2022-04-25
Apollo Towers,3821,1971,51.6,4934,2022-04-25
Alletra Diamond Grand Hotel,1538,1052,82.4,3492,2022-04-26
ProLiant Towers,1348,1480,83.2,4896,2022-04-26
Aruba Luxury Lodge,1495,1601,90.5,4498,2022-04-26
InfoSight Boutique Hotel,3016,1491,77.0,3791,2022-04-26
Primera Grand,1724,1059,61.6,3039,2022-04-26
dHCI Executive Boutique Hotel,2370,1516,86.9,3683,2022-04-26
ProLiant Haven,1663,1528,66.0,4066,2022-04-26
Apollo Executive Beach Resort,1699,1445,81.3,3810,2022-04-26
Aruba Lodge,1957,1747,69.1,3539,2022-04-26
Alletra Haven,1568,1309,50.3,4512,2022-04-26
dHCI Platinum Beach Resort,3155,1478,51.7,4912,2022-04-26
GreenLake Platinum Heritage Inn,2093,1219,83.7,3207,2022-04-26
Pointnext Signature Residences & Suites,3457,1020,53.6,3014,2022-04-26
ProLiant Place,3554,1987,79.6,3128,2022-04-26
Synergy Golden Grand Hotel,1317,1625,50.5,3580,2022-04-26
Alletra Resort,1533,1958,83.0,4036,2022-04-26
GreenLake Digital Business Suites,2569,1485,79.8,3575,2022-04-26
Apollo Resort & Spa,2484,1351,50.0,3941,2022-04-26
Nimble Inn,3640,1743,94.9,3041,2022-04-26
Ezmeral Grand Hotel,1451,1268,73.4,3693,2022-04-26
Alletra Boutique Hotel,2551,1442,53.1,4846,2022-04-26
Simplivity Golden Plaza Hotel,1266,1647,56.3,4126,2022-04-26
Cray Villas,2215,1073,53.3,4149,2022-04-26
Apollo Diamond Suites,3384,1814,58.1,3023,2022-04-26
Apollo Towers,2566,1367,62.3,3384,2022-04-26
Alletra Diamond Grand Hotel,2455,1327,76.8,4785,2022-04-27
ProLiant Towers,2855,1040,68.9,4225,2022-04-27
Aruba Luxury Lodge,2307,1500,94.7,3751,2022-04-27
InfoSight Boutique Hotel,2240,1350,56.3,4965,2022-04-27
Primera Grand,3436,1852,85.2,3727,2022-04-27
dHCI Executive Boutique Hotel,2155,1578,52.8,4165,2022-04-27
ProLiant Haven,2525,1130,66.8,4021,2022-04-27
Apollo Executive Beach Resort,2209,1925,51.0,4652,2022-04-27
Aruba Lodge,3756,1533,57.2,3012,2022-04-27
Alletra Haven,3522,1324,67.7,4124,2022-04-27
dHCI Platinum Beach Resort,2137,1391,68.8,3972,2022-04-27
GreenLake Platinum Heritage Inn,2214,1702,64.0,3702,2022-04-27
Pointnext Signature Residences & Suites,2160,1391,67.1,4693,2022-04-27
ProLiant Place,2710,1709,70.2,3425,2022-04-27
Synergy Golden Grand Hotel,3530,1601,78.9,3473,2022-04-27
Alletra Resort,1630,1557,50.5,3971,2022-04-27
GreenLake Digital Business Suites,3038,1278,66.8,4571,2022-04-27
Apollo Resort & Spa,3531,1957,69.7,3875,2022-04-27
Nimble Inn,1452,1265,66.0,3990,2022-04-27
Ezmeral Grand Hotel,2259,1826,56.9,3307,2022-04-27
Alletra Boutique Hotel,1882,1489,69.1,3537,2022-04-27
Simplivity Golden Plaza Hotel,1584,1241,94.2,4004,2022-04-27
Cray Villas,1959,1760,68.0,3851,2022-04-27
Apollo Diamond Suites,2972,1378,78.3,4103,2022-04-27
Apollo Towers,1913,1405,50.2,4804,2022-04-27
Alletra Diamond Grand Hotel,2005,1636,90.1,3991,2022-04-28
ProLiant Towers,3798,1860,68.2,3263,2022-04-28
Aruba Luxury Lodge,2270,1911,60.8,4806,2022-04-28
InfoSight Boutique Hotel,1418,1526,84.2,4885,2022-04-28
Primera Grand,1866,1761,86.3,3598,2022-04-28
dHCI Executive Boutique Hotel,1408,1054,69.7,4197,2022-04-28
ProLiant Haven,2719,1440,80.2,4387,2022-04-28
Apollo Executive Beach Resort,1071,1933,82.9,3620,2022-04-28
Aruba Lodge,1840,1406,62.0,3397,2022-04-28
Alletra Haven,2970,1912,69.6,4273,2022-04-28
dHCI Platinum Beach Resort,3962,1024,76.4,3755,2022-04-28
GreenLake Platinum Heritage Inn,2506,1183,54.5,3622,2022-04-28
Pointnext Signature Residences & Suites,1285,1193,50.3,3542,2022-04-28
ProLiant Place,2776,1647,68.0,3778,2022-04-28
Synergy Golden Grand Hotel,3709,1296,63.3,3107,2022-04-28
Alletra Resort,3072,1181,56.6,4109,2022-04-28
GreenLake Digital Business Suites,3685,1187,51.1,4908,2022-04-28
Apollo Resort & Spa,2089,1108,69.1,4453,2022-04-28
Nimble Inn,3650,1807,75.3,4279,2022-04-28
Ezmeral Grand Hotel,1581,1590,71.8,4534,2022-04-28
Alletra Boutique Hotel,1031,1180,84.8,4548,2022-04-28
Simplivity Golden Plaza Hotel,1191,1005,85.2,4888,2022-04-28
Cray Villas,2448,1547,59.8,4545,2022-04-28
Apollo Diamond Suites,2038,1398,89.4,4645,2022-04-28
Apollo Towers,3055,1091,54.3,4163,2022-04-28
Alletra Diamond Grand Hotel,2600,1034,55.2,4658,2022-04-29
ProLiant Towers,1674,1115,86.9,3546,2022-04-29
